"Loc","P","long","lat"
"Adams WA",174,NA,NA
"Asotin WA",91,NA,NA
"Benton WA",312,NA,NA
"Clallam WA",170,NA,NA
"Clark WA",635,NA,NA
"Cowlitz WA",273,NA,NA
"Ferry WA",29,NA,NA
"Franklin WA",229,NA,NA
"Grant WA",236,NA,NA
"Grays Harbor WA",337,NA,NA
"Island WA",225,NA,NA
"Jefferson WA",335,NA,NA
"King WA",4440,NA,NA
"Kitsap WA",897,NA,NA
"Kittitas WA",249,NA,NA
"Klickitat WA",374,NA,NA
"Lewis WA",226,NA,NA
"Lincoln WA",160,NA,NA
"Mason WA",272,NA,NA
"Pacific WA",193,NA,NA
"Pend Oreille WA",44,NA,NA
"Pierce WA",1287,NA,NA
"San Juan WA",89,NA,NA
"Skagit WA",316,NA,NA
"Skamania WA",349,NA,NA
"Snohomish WA",3345,NA,NA
"Spokane WA",577,NA,NA
"Stevens WA",315,NA,NA
"Thurston WA",88,NA,NA
"Wahkiakum WA",17,NA,NA
"Walla Walla WA",146,NA,NA
"Whatcom WA",433,NA,NA
"Yakima WA",392,NA,NA
